,job_title,company,location,link
0,Content Creator,Nala Feminist Collective,"New York, NY",https://www.linkedin.com/jobs/view/content-creator-at-nala-feminist-collective-4158307154?position=1&pageNum=0&refId=BD8jd64lrDqDoNiRoVV9ZA%3D%3D&trackingId=OjzVSGsTHdphK05EnUg%2BjA%3D%3D
1,Junior Varsity Baseball Assistant Coach,San Francisco University High School,"San Francisco, CA",https://www.linkedin.com/jobs/view/junior-varsity-baseball-assistant-coach-at-san-francisco-university-high-school-4158953564?position=2&pageNum=0&refId=BD8jd64lrDqDoNiRoVV9ZA%3D%3D&trackingId=HPAgoCUA4GOvnxBhKFQlcA%3D%3D
2,Breakthrough Summerbridge Instructional Coach,San Francisco University High School,"San Francisco, CA",https://www.linkedin.com/jobs/view/breakthrough-summerbridge-instructional-coach-at-san-francisco-university-high-school-4158956092?position=3&pageNum=0&refId=BD8jd64lrDqDoNiRoVV9ZA%3D%3D&trackingId=o%2FK%2BrqbLGaCNzJaBd%2Bli9A%3D%3D
3,Engagement - Social Media Specialist,The University Star,"San Marcos, TX",https://www.linkedin.com/jobs/view/engagement-social-media-specialist-at-the-university-star-4158378365?position=4&pageNum=0&refId=BD8jd64lrDqDoNiRoVV9ZA%3D%3D&trackingId=3PyLVvWTuem5iOPcAvA60A%3D%3D
4,Tutors- Middle and High School,King's Ridge Christian School,"Alpharetta, GA",https://www.linkedin.com/jobs/view/tutors-middle-and-high-school-at-king-s-ridge-christian-school-4158912722?position=5&pageNum=0&refId=BD8jd64lrDqDoNiRoVV9ZA%3D%3D&trackingId=gr%2F3lwDtIX1fp7bqj7NY1A%3D%3D
5,Snow Warrior,The Essex Resort & Spa,"Essex Junction, VT",https://www.linkedin.com/jobs/view/snow-warrior-at-the-essex-resort-spa-4159260615?position=6&pageNum=0&refId=BD8jd64lrDqDoNiRoVV9ZA%3D%3D&trackingId=igF5Z%2FMFpKwVRnPNANI7Wg%3D%3D
6,2025 Vietnam Veterans Day 5k,PATH Foundation,"Midland, VA",https://www.linkedin.com/jobs/view/2025-vietnam-veterans-day-5k-at-path-foundation-4155470983?position=7&pageNum=0&refId=BD8jd64lrDqDoNiRoVV9ZA%3D%3D&trackingId=JdhJOsWtt8dRjEyd3nChWw%3D%3D
7,Welcome Desk,PATH Foundation,"Midland, VA",https://www.linkedin.com/jobs/view/welcome-desk-at-path-foundation-4155472868?position=8&pageNum=0&refId=BD8jd64lrDqDoNiRoVV9ZA%3D%3D&trackingId=839BTN137pvwPDHCOUQ2CQ%3D%3D
8,Asst. HS Football Coach - Volunteer,REGIONAL SCHOOL DISTRICT 17,"Higganum, CT",https://www.linkedin.com/jobs/view/asst-hs-football-coach-volunteer-at-regional-school-district-17-4158358883?position=9&pageNum=0&refId=BD8jd64lrDqDoNiRoVV9ZA%3D%3D&trackingId=VxZuFs7habRrZ4MlCm%2FM4Q%3D%3D
9,Non-Paid Event Support Volunteer,Workforce Solutions Borderplex,"El Paso, TX",https://www.linkedin.com/jobs/view/non-paid-event-support-volunteer-at-workforce-solutions-borderplex-4156572357?position=10&pageNum=0&refId=BD8jd64lrDqDoNiRoVV9ZA%3D%3D&trackingId=9lWTOo10XbDFusDE2fFbdA%3D%3D
10,Beekeeper,Thrive Health Systems,"Colorado Springs, CO",https://www.linkedin.com/jobs/view/beekeeper-at-thrive-health-systems-4154720229?position=11&pageNum=0&refId=BD8jd64lrDqDoNiRoVV9ZA%3D%3D&trackingId=ZXqLkQ6G2q8o7VOMuAbfFQ%3D%3D
11,Girls Varsity Soccer Assistant Coach,San Francisco University High School,"San Francisco, CA",https://www.linkedin.com/jobs/view/girls-varsity-soccer-assistant-coach-at-san-francisco-university-high-school-4158952391?position=12&pageNum=0&refId=BD8jd64lrDqDoNiRoVV9ZA%3D%3D&trackingId=2oR9ufaACC%2Bm3uEREyfM4A%3D%3D
12,Food Pantry Volunteer,Villa Maria College,"Buffalo, NY",https://www.linkedin.com/jobs/view/food-pantry-volunteer-at-villa-maria-college-4157226201?position=13&pageNum=0&refId=BD8jd64lrDqDoNiRoVV9ZA%3D%3D&trackingId=UvQq%2FjDU2ipKnAE7X61Aeg%3D%3D
13,Volunteer Opportunities - Pet / Animal Related / Special Skills,Furry Fellas LLC -Dog Walking & Pet Sitting,"Rhode Island, United States",https://www.linkedin.com/jobs/view/volunteer-opportunities-pet-animal-related-special-skills-at-furry-fellas-llc-dog-walking-pet-sitting-4158950023?position=14&pageNum=0&refId=BD8jd64lrDqDoNiRoVV9ZA%3D%3D&trackingId=VKkXCHdqw9%2F9W0k76K3Mxg%3D%3D
